fam_weak,fam_strong,day_fam,nov_weak,nov_strong,day_nov,subj,fam_rep1,fam_rep2,fam_rep3,nov_rep1,nov_rep2,nov_rep3,V14,weak,strong,strong1,strong2,strong3
15.01920714,14.55771567,1,12.08694857,11.018897,2,'1AE',16.803387,14.08977,12.77999,11.705841,10.82832,10.52253,,13.55307786,12.78830633,14.254614,12.459045,11.65126
8.230271429,8.446796667,2,8.603870714,10.10157267,1,'2AE',8.70093,8.58228,8.05718,9.280658,11.17562,9.84844,,8.417071071,9.274184667,8.990794,9.87895,8.95281
,,,8.949586429,9.06763,2,'3AE',,,,9.39831,8.78296,9.02162,,8.949586429,9.06763,9.39831,8.78296,9.02162
9.703785714,9.912138,2,,,,'4AE',10.314414,10.11099,9.31101,,,,,9.703785714,9.912138,10.314414,10.11099,9.31101
15.99553214,16.64455,1,14.72512429,13.18108333,2,'5AE',18.06896667,15.24848889,16.61903,13.92026,13.11527,12.50772,,15.36032821,14.91281667,15.99461333,14.18187944,14.563375
16.87500769,16.02309792,2,21.20055455,17.0458445,1,'6AE',16.194825,17.20041111,14.7313,16.72253167,16.70752857,17.66128571,,19.03778112,16.53447121,16.45867833,16.95396984,16.19629286
18.69912857,20.65158862,1,16.74645385,16.73115759,2,'7AE',21.42468556,22.56799,18.0394,15.959587,19.66778,14.32554444,,17.72279121,18.6913731,18.69213628,21.117885,16.18247222
15.13714615,15.71490036,2,18.7988,16.03428071,1,'8AE',14.77622333,17.81571,14.31934444,19.34849556,14.77804,14.11588889,,16.96797308,15.87459054,17.06235944,16.296875,14.21761667
9.941954615,9.468562333,1,8.319250714,8.585754,2,'9AE',8.542867,10.62854,9.23428,8.451454,8.144708,9.1611,,9.130602665,9.027158167,8.4971605,9.386624,9.19769
16.62488571,11.91801786,2,16.5735925,17.03058667,1,'10AE',11.94214444,11.97134444,11.84831,16.278934,17.6970875,17.27331111,,16.59923911,14.47430226,14.11053922,14.83421597,14.56081056
